No,Nama pemilik,Nama Toko,Produk,Nama akun pembeli,Profil gambar akun,Deteksi Akun,Review /Komentar,Rating bintang,Sentimen,Source,Data_Review,Month,YEAR,LINK,,,,,,,,,,,,,,,,,,,,
13,,,,,,,"Ga bisa klaim gratis ongkir, tolong dong d perbaiki usaha sy jadi macet",,NEGATIF,BUKALAPAK,08/02/2020,February,2020,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,Payah kali loginnya Kenapa ni?,,NEGATIF,BUKALAPAK,25/02/2020,February,2020,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,Kenapa toko nya tanda seru semua cok?,,NEGATIF,BUKALAPAK,27/02/2020,February,2020,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,Aku suka aplikasi ini tapi ya.. kenapa waktu aku mau verifikasi no telp.ku kok gk ada sms dari sophee jadi sebbel deh??,,NEGATIF,BUKALAPAK,01/03/2020,March,2020,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,gk bisa di update,,NEGATIF,BUKALAPAK,13/03/2020,March,2020,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,Ada thr nya gak jawab cepet kalo ada saya instal,,NEGATIF,BUKALAPAK,16/03/2020,March,2020,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,mengapa saya tidak dapat menggunakan voucher gratis ongkir sekaligus dengan cashback? setiap ingin menggunakan gratis ongkir sekaligus cashback yang terpilih hanya salah tau doang tidak bisa di klik bersamaan.,,NEGATIF,BUKALAPAK,17/03/2020,March,2020,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,"Barang sudah diterima,tapi aplikasinya menunjukan barang sedang dikirim???????????????gimna coba bikin pusing aja.Ribet banget kya nya . Tolong diperbaiki lagii kedepanya??????",,NEGATIF,BUKALAPAK,18/03/2020,March,2020,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,"Kecewa BANGET sama aplikasi ini kenapa pengembalian seribet itu sudah jelas"" penjual salah kirim barang MOHON SEGERA DI PERBAIKI BIKIN RUGI ORANG AJA",,NEGATIF,BUKALAPAK,31/03/2020,March,2020,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,Aplikasinya lemot banget padahal sinyal full,,NEGATIF,BUKALAPAK,03/04/2020,April,2020,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,Ka aku udh 2x nge instal ini kenapaa aplikasi nya ga muncul d hp sayah padahal sayah brulang kali nge instal ke aplikasi baru,,NEGATIF,BUKALAPAK,08/04/2020,April,2020,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,"Barang lama banget sampe nya,keburu berubah pikiran pengen beli yang laen,udh gitu ongkir nya gila 30ribu hh",,NEGATIF,BUKALAPAK,19/04/2020,April,2020,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,Kmrn seneng liat aplikasi ini sekarang sudah di update malah tambah gak keluar gambarnya jadi gk semangat,,NEGATIF,BUKALAPAK,19/05/2020,May,2020,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,Katanya Gratis ongkir huh ternyata nggak,,NEGATIF,BUKALAPAK,21/05/2020,May,2020,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,Saya paham situasi lagi begini tapi tolong lah jasa pengirim jangan kaya asu ! Saya juga mencari nafkah Biayanya itu loh sampe melebihi barang yang mau kita beli ..sudah mengalami keterlambatan 1-2 hari.. Jadi tolong lah saya juga reseller,,NEGATIF,BUKALAPAK,24/05/2020,May,2020,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,"kenapaa ko sekarang pilih pengirimny ng banyak, j&t expres atau yang lainy ko nga add",,NEGATIF,BUKALAPAK,27/05/2020,May,2020,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,"Kalo ada bintang NOL saya kasih bintang nol kamu pi...... kecewa dengan sistem sekarang ga bisa pilih kurir,,, Kurir yang biasa datang kerumah saya maanaaaaaa ?????? alhasil pakait ga sampai,, sklipun sampai kurir lu jutex jutex kage ada senyum senyumnya... belanja di elu sekarang jadi nyaman ga tenang , takut pakaitnya ga sampai..... seblum lu rubah lagi sistemnya.. mnding pindah ke sebelah dulu deh...bye pee",,NEGATIF,BUKALAPAK,02/06/2020,June,2020,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,Ini kok gak bisa login ya udh daftar ulng jg gak bisa,,NEGATIF,BUKALAPAK,09/06/2020,June,2020,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,ANDA HANYA BISA NGE-SCAM (MENIPU) BOTTSSSSS,,NEGATIF,BUKALAPAK,13/06/2020,June,2020,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,Aplikasi terburuk yang saya pernah temuin sudah antar nya telat juga kali,,NEGATIF,BUKALAPAK,15/06/2020,June,2020,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,"Spam melulu di online Internet, nganggu aja klau mauain internetan, enggak punya modal ya buat iklan di tv",,NEGATIF,BUKALAPAK,16/06/2020,June,2020,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,Ini kenapa ya kok GK bisa masuk...tiap kali masuk langsung keluar sendiri ....,,NEGATIF,BUKALAPAK,21/06/2020,June,2020,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,"Kok setiap mau bayar ga bisa ya, sudah update sama install ulang juga padahal",,NEGATIF,BUKALAPAK,21/06/2020,June,2020,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,Gak bisa login keterangan jaringan bermasalah,,NEGATIF,BUKALAPAK,21/06/2020,June,2020,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,Lelet sekali,,NEGATIF,BUKALAPAK,23/06/2020,June,2020,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,Iklan nya mengangu aku waktu main game!!!!,,NEGATIF,BUKALAPAK,23/06/2020,June,2020,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,Tampilan hasil mesin pencari sering eror',,NEGATIF,BUKALAPAK,29/06/2020,June,2020,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,"Terlalu banyak potongan bagi penjual & kalau mau beli gak ada gratis ongkir nya,Ada gratis ongkir tapi ribet,padahal promosi nya aja bagus"" tapi gak sesuai kenyataan,payah??????",,NEGATIF,BUKALAPAK,29/06/2020,June,2020,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,Untuk sementara sy ksih Bintang 1 dlu yaa. Lihat kedepan amanah atau tidak. Soal bintang mah gampang. Lihat kinerja selanjutnya kedepan,,NEGATIF,BUKALAPAK,13/07/2020,July,2020,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,maaf dari ????? jadi ?Sekarang kok gini y ongkir pilih belakangan ubah ongkir. . sudah cek out bayar baru ketauan bisa rubah ongkir. Dimana2 y milih ongkir dulu laahh.. anehh. Yang tau exp mana yang baik dan cepatt itu y cuma pelanggan. Jadi biarkan sya memilih sendiri exp apa..,,NEGATIF,BUKALAPAK,16/07/2020,July,2020,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,Barang katanya free ongkir padahal udh pakai voucher.pas di checout memang Free .eh giliran checout ke 2 mlh trnyata ongkir .ongkirnya mahal pula udh terlanjur ngumpulin barang mau dipesen ternyata ongkir.kecewa banget.,,NEGATIF,BUKALAPAK,20/07/2020,July,2020,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,Kapan dong kirim nya lama banget sih,,NEGATIF,BUKALAPAK,23/07/2020,July,2020,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,Kok saya ga bisa ngorder barang?,,NEGATIF,BUKALAPAK,24/07/2020,July,2020,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,"Lu itu cuman aplikasi belanja ,msak kudu btuh sinyal kuat buat lancar loading ny Dkit2 psti update",,NEGATIF,BUKALAPAK,26/07/2020,July,2020,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,Mana gratis ongkir yang dulu?,,NEGATIF,BUKALAPAK,06/08/2020,August,2020,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,"voucher tanam dan beli,itu usaha kami pke kouta dan beli bukan ngratis,terus di bilang curang mna ke adilany",,NEGATIF,BUKALAPAK,18/08/2020,August,2020,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,merasa tertipu dengan voucher cashback pas di pakai gak ada cashback koin yang masuk maaf males pakai lagi,,NEGATIF,BUKALAPAK,19/08/2020,August,2020,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,"Mau di update terus""an gagal terus, sinyal udh bagus memori juga sudah cukup",,NEGATIF,BUKALAPAK,28/08/2020,August,2020,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,Parah bnget ga bisa kebuka semua fto2 dagangan nya jadi lemot kalau bisa perbaiki aplikasi nya jangan kaya gini,,NEGATIF,BUKALAPAK,30/08/2020,August,2020,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,"Saya kasi bintang satu, setiap saya mau belanja online lewat cod, gk pernah direspon padahal dari pihak tokonya sudah menyetujuinya",,NEGATIF,BUKALAPAK,31/08/2020,May,2020,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,Saya harap pesanan saya sampe disaat aplikasi ini sedang eror2 nya,,NEGATIF,BUKALAPAK,01/09/2020,May,2020,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,"Kesel deh makin kesini free ongkirnya cuma PHP padahal anggota sudah platinum jg sudah ngikutin S&K,,,apl nya minta di update mulu",,NEGATIF,BUKALAPAK,02/09/2020,September,2020,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,Aplikasinya berat bikin lemot hp. Gk seperti olshop yang lain.,,NEGATIF,BUKALAPAK,02/09/2020,September,2020,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,Lama bangat ngunduh aplikasi ini,,NEGATIF,BUKALAPAK,03/09/2020,September,2020,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,Gak bisa klaim voucher? Gini katanya mempermudah?. OI BANGON sudah DHUHUR,,NEGATIF,BUKALAPAK,08/09/2020,September,2020,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,Jelek jangan download,,NEGATIF,BUKALAPAK,10/09/2020,September,2020,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,kenapa di instal gk bisa,,NEGATIF,BUKALAPAK,13/09/2020,September,2020,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,Tolong Nih di amged lagi dog,,NEGATIF,BUKALAPAK,15/09/2020,September,2020,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,Ongkir gratis ga jelas. Terus masa ongkir gratis saya harus nombok 58rb sudah cancel aja penjualan saya drpd nombok,,NEGATIF,BUKALAPAK,26/09/2020,September,2020,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,Tolong mengunduhnyah jangan lama banget,,NEGATIF,BUKALAPAK,26/09/2020,September,2020,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,"Barang nya dateng , terus kena tipu ???? sudah beli mahal mahal datang nya kena tipu ????????",,NEGATIF,BUKALAPAK,02/10/2020,October,2020,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,"admin ini kok dari tdi gak ke instal yah dari tdi kaya ke stak gitu terus juga gak jln jln loh % nya, tolong yah di prebaikin",,NEGATIF,BUKALAPAK,02/10/2020,October,2020,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,"Transaksi bayar tagihan PLN lama banget prosesnya, bayar jam 3 sore ampe jam 8 mlm belum juga diproses. Padahal sudah dibayar, keburu mati lampu dirumah. Payah... Pengajuan pengembalian dana balik pun gak ada faedahnya, pdhal saya suka blnja di aplikasi ini. Alamat UNINSTALL kalau kyak gni terus",,NEGATIF,BUKALAPAK,05/10/2020,October,2020,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,"Jijik,,dah dimasukin kode buat login malah kode salah mulu.gk jelas banget si",,NEGATIF,BUKALAPAK,16/10/2020,October,2020,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,Iklan nya jangan muncul dmn mana di web ada di aplikasi ada di game ada gw jadi pusing,,NEGATIF,BUKALAPAK,25/10/2020,October,2020,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,aplikasi nya jlek nggak kaya dulu bagus,,NEGATIF,BUKALAPAK,05/11/2020,November,2020,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,sumpah kesel banged.sudah cape di instal ulang tapi tetap saja masih lemot. putih polos kalo mau cekout..,,NEGATIF,BUKALAPAK,23/11/2020,November,2020,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,Jasa kirim dikekang.... ??????,,NEGATIF,BUKALAPAK,27/11/2020,November,2020,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,"Ini kenapa ya ga bisa log in ? Katanya ""tidak ada koneksi internet"" padahal kan sinyal full banget. Log in pakai website bisa sedangkan pakai aplikasinya malah ga bisa ! Mohon banget di benahi",,NEGATIF,BUKALAPAK,28/11/2020,November,2020,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,.r juga itulah mengapa hsgi,,NEGATIF,BUKALAPAK,03/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,Pengirimannya mahal sekarang gak kayak dulu percuma vouchernya gak bisa membantu..,,NEGATIF,BUKALAPAK,03/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,Jelek'banget asli aplikasi nya,,NEGATIF,BUKALAPAK,15/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,Pengembalian dana katanya maksimal 1×24 jam ternyata bohong ! sudah hampir 3 hari dana nggak di kirim-kirim !,,NEGATIF,BUKALAPAK,19/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,"gak jelas banget tidak bisa pilih jasa kirim langsung, jadi dapatnya acak aneh lah gk suka yang sekarang makin ribet. Balikin ky dulu lagi laaah",,NEGATIF,BUKALAPAK,20/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,Ga bisa pilih jasa pengiriman jnt/sicepat/dkk sekarang. Impactnya jadi lama pengirimannya,,NEGATIF,BUKALAPAK,21/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,"Kadang suka eror, bisa di buka ya malam doang",,NEGATIF,BUKALAPAK,24/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,"Aplikasi ga ada akhlak...ga bisa kebuka !!! Sinyal gw bagus tapi kenapa loading terus, waktu baru isi kuota, ttapi aja ga bisa..ni Server gimana Sih..sama aja kyk aplikasi sebelah..",,NEGATIF,BUKALAPAK,26/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,Makin berat aja ya,,NEGATIF,BUKALAPAK,29/12/2020,December,2020,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,Gk bs di instal mau nangis sumpa,,NEGATIF,BUKALAPAK,17/01/2021,January,2021,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,Pembayaran pending udh 3 hari .,,NEGATIF,BUKALAPAK,19/01/2021,January,2021,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,"Sekarang dikit"" perbarui,kalau gak perbarui gk loeding""",,NEGATIF,BUKALAPAK,31/01/2021,January,2021,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,"Maaf ya jadi bintang 1, pengiriman jadi lelet",,NEGATIF,BUKALAPAK,31/01/2021,January,2021,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,Kenapa sekarang ga bisa top up free fire padahal sekarang banyak event seru pas mau top up lah ko ilang voucher games nya terus saya harus top up dimana?coba adain lagi dong,,NEGATIF,BUKALAPAK,02/02/2021,February,2021,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,"Setelah di update ngga ada gambar produknya, gabisa dibeli juga gtau dah;(",,NEGATIF,BUKALAPAK,10/02/2021,February,2021,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,downloadnya lama banget sih ??,,NEGATIF,BUKALAPAK,15/02/2021,February,2021,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,sudah klaim voucher tapi gak muncul muncul. sudah sesuai S&K terus sesuai kategori toko juga. Ttapi gakbisa ???????,,NEGATIF,BUKALAPAK,21/02/2021,February,2021,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,Free ongkir ya ga ada lagi bagaimana ini minnnnn,,NEGATIF,BUKALAPAK,27/02/2021,February,2021,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,Masalah mulu...mau live ada aja gangguannya,,NEGATIF,BUKALAPAK,09/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,Auto Delete kalo Secret number kalah Vote. Dalam 1 menit +30 RB voted untuk SK . Maklum sih masih jadi Brand ambasador nya. Wkwkwk LOL (the power of orang dalam). Mending pakai market place lain aja LOL,,NEGATIF,BUKALAPAK,21/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,Iklan kepanjangan di aplikasi lain,,NEGATIF,BUKALAPAK,21/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,1. Lemot 2. Voucher free ongkir tipu2 pas di cek harus pakai sapipay 3. Koin berkurang 4. Aplikasi Pelit,,NEGATIF,BUKALAPAK,23/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,Jelek aplikasi nya,,NEGATIF,BUKALAPAK,23/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,Kebanyakan iklan,,NEGATIF,BUKALAPAK,29/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,Kenapa erorr si ? Pesanan saya gimana .,,NEGATIF,BUKALAPAK,29/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,Kaya da ad dosa sudah mau terinstall malah teulang haduh payah kau,,NEGATIF,BUKALAPAK,30/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,Bukannya makin bagus malah makin jelek aplikasinya keluar sendiri Terus,,NEGATIF,BUKALAPAK,30/03/2021,March,2021,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,"belanja hemat, mantap, untuk versi yang sebelum nya ya.. karenaa yang sekarang gan bisa pilih kurir lagi, jadi sy turunkan rating nya... padahal sy sudah gold member, next belanja di bukalapak dan tokopedia aja lah.. gak suka versi yang aneh2 kaya gini... Saran ya kalau kalian ga mau ditinggal oleh pemakai se...Ulasan Lengkap",,NEGATIF,BUKALAPAK,09/04/2021,April,2021,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,Asli ongkirnya gede banget,,NEGATIF,BUKALAPAK,12/04/2021,April,2021,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,Habis di afgred lemott banget,,NEGATIF,BUKALAPAK,16/04/2021,April,2021,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,Tidak mendukung seluruh wilayah Indonesia mengecewakan sekali,,NEGATIF,BUKALAPAK,27/05/2021,May,2021,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,Kok mau verivikasi no hp gk bisa2,,NEGATIF,BUKALAPAK,30/05/2021,May,2021,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,Seller distrobdg. Penipu. Saya pesen 2 pcs dteng 1pcs!!!!,,NEGATIF,BUKALAPAK,01/06/2021,June,2021,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,Aplikasinya makin gajelas,,NEGATIF,BUKALAPAK,07/06/2021,June,2021,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,Ini kalau dongkalaut kok lama,,NEGATIF,BUKALAPAK,11/06/2021,June,2021,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,"Skarenag ga da bebas ongkir, jangan d download.",,NEGATIF,BUKALAPAK,12/06/2021,June,2021,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,"Kenapasiii sekarang jasa kirimnya ga bisa pilih sendiriiii, maaf yah kasih bintang satu. Dan tolong ubah jadi semula",,NEGATIF,BUKALAPAK,18/06/2021,June,2021,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,gak ada ovo...aku senang pk ovo,,NEGATIF,BUKALAPAK,19/06/2021,June,2021,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,"Gak bisa login maupun daftar,kemarin chat nya g bisa terus saya logout pas mau login g bisa mau daftar pun g bisa.aplikasi sudah di update.sudah hapus data,hapus cache DLL.apa saya harus pakai aplikasi lain?",,NEGATIF,BUKALAPAK,21/06/2021,June,2021,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,"Biasa saja, aplikasi ini...selalu di update setiap bulannya...",,NEGATIF,BUKALAPAK,12/07/2021,July,2021,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,Apa sih gk bisa gratis ongkir aku nyesel donlot ini bikin kaouta ku abis,,NEGATIF,BUKALAPAK,21/07/2021,July,2021,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,"update mulu, jadi makan waktu,penghapusan cache tidak pengaruh,update tuh setaun sekali, ini mh menghambat waktu aja jadi serba nge hang kalau gaa di update,tolong konsisten dalam ketentuan meng update agar transaksi penjualan dan pembelian tidak ribet",,NEGATIF,BUKALAPAK,27/07/2021,July,2021,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,Semua voucher game 4rbu ternyata hoax,,NEGATIF,BUKALAPAK,06/08/2021,August,2021,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,Kenpa tiba2 suka keluar dan harus login lagi ..Terus eror gk bisa diklik ??,,NEGATIF,BUKALAPAK,11/08/2021,August,2021,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,kodenya gak dikirim2 ngebug terus????,,NEGATIF,BUKALAPAK,13/08/2021,August,2021,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,Jngn dowload ongkirnya mahal masa barang cuma 15 rb ongkirnya 75 rb,,NEGATIF,BUKALAPAK,18/08/2021,August,2021,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,Menjijikan sekali aplikasi ini,,NEGATIF,BUKALAPAK,21/08/2021,August,2021,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,"Ribet banget sekarang, sangat kecewa!!!",,NEGATIF,BUKALAPAK,21/08/2021,August,2021,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,Orang2 heboh dapat kenaikan limit...lah gw limit malah NOL dari semenjak Corona... WHY??? padahal gk prnh telat bayar.... Jiiirrr,,NEGATIF,BUKALAPAK,22/08/2021,August,2021,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,Mau batal pesanan tidak bisa,,NEGATIF,BUKALAPAK,02/11/2021,November,2021,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,aplikasi tidak bisa transaksi,,NEGATIF,BUKALAPAK,05/11/2021,November,2021,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,"Tadi nya saya sudah kasi bintang 5 , jadi begini saya beli barang . Posisi saya lagi kerja Terus. Disitu stattus sudah di terima atas nama saya . Tolong dong kasi tau kurir nya kalau misalkan di titipin ke kluarga , di terima nya atas nama keluarga . kalau oleh tetangga di sebuntukan nama nya . Ini skarenag barang saya belum sampai tapi stattus nya sudah di terima !! Parah",,NEGATIF,BUKALAPAK,13/11/2021,November,2021,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,"Uang kembalian dari J&T nya robek, rusak engga layak buat di pakai lagi",,NEGATIF,BUKALAPAK,16/11/2021,November,2021,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,hbs update mau upload produk ribet bnget di bagian merk suka gak muncul bikin kesel aj.,,NEGATIF,BUKALAPAK,18/11/2021,November,2021,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,Sungguh sangat di sayangkan.. Kenapa Di aplikasi ini tidak semua wilayah bisa menggunakan jasa kurir grab atau gosend. Dicek cuma untuk wilayah JADETABEK. Lalu apa wilayah lain tidak ada keadilan bangetu ?? Maaf hny sebuah masukan.. Semoga kurir tersebut bs merata di gunakan di semua wilayah,,NEGATIF,BUKALAPAK,29/11/2021,November,2021,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,assalamualaikum ko lama ngedonloud nya sih??bisa gak di cepetin soal nya kuota aku takut habis baru beli kemaren????????????,,NEGATIF,BUKALAPAK,02/12/2021,December,2021,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,"aplikasiya penjual terbesar,tapi untuk masuk login ke akun sendiri sangat susah ,,,layanan super jelexxx sekali susah mendapatkan kode Otapi...gak ngerti apa masalahnya....aplikasi parahhhh",,NEGATIF,BUKALAPAK,05/12/2021,December,2021,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,Nganter nya lama cuman beli sepatu doang 7 hari baru sampai,,NEGATIF,BUKALAPAK,09/12/2021,December,2021,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,Ya mudah ya murah puas belanja Ga ribet,,NEGATIF,BUKALAPAK,13/12/2021,December,2021,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,salah beli gak bisa di pengembalian barang dasar aplikasi sampah,,NEGATIF,BUKALAPAK,17/12/2021,December,2021,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,JANGAN ADA LAGI UPDATE APLIKASI LAGI DI PLAYSTORE !!.,,NEGATIF,BUKALAPAK,18/12/2021,December,2021,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,Ah gak bagus suka ngehang jangan gunain aplikasi ini,,NEGATIF,BUKALAPAK,02/01/2022,January,2022,,,,,,,,,,,,,,,,,,,,,
